drug_name,brand_name,generic_name,interacts_with_list,description,source
"METHENAMINE, SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE, PHENYL SALICYLATE, METHYLENE BLUE, AND HYOSCYAMINE SULFATE",MB CAPS,"METHENAMINE, SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE, PHENYL SALICYLATE, METHYLENE BLUE, AND HYOSCYAMINE SULFATE","Methylene, Antacids, Educate, Antimuscarinics Concurrent, Most, Healthcare Professionals, Antimyasthenics Concurrent, Doses, Treatment, Drug Interactions, Signs, Opioid, Monoamine, Wait, Fluoxetine, Serotonin Syndrome, Prozac, Urinary, Ketoconazole, Sulfonamides These, Additional Information, Serotonergic","DRUG INTERACTIONS Drug Interactions Although the exact mechanism of this drug interaction is unknown, methylene blue inhibits the action of monoamine oxidase A— an enzyme responsible for breaking down serotonin in the brain. It is believed that when methylene blue is given to patients taking serotonergic psychiatric medications, high levels of serotonin can build up in the brain, causing toxicity. This is referred to as Serotonin Syndrome. Signs and symptoms of Serotonin Syndrome include mental changes (confusion, hyperactivity, memory problems), muscle twitching, excessive sweating, shivering or shaking, diarrhea, trouble with coordination, and/or fever. Additional Information for Healthcare Professionals Methylene blue can interact with serotonergic psychiatric medications and cause serious CNS toxicity. In emergency situations requiring life-threatening or urgent treatment with methylene blue (as described above), the availability of alternative interventions should be considered and the benefit of methylene blue treatment should be weighed against the risk of serotonin toxicity. If methylene blue must be administered to a patient receiving a serotonergic drug, the serotonergic drug must be immediately stopped, and the patient should be closely monitored for emergent symptoms of CNS toxicity for two weeks (five weeks if fluoxetine [Prozac] was taken), or until 24 hours after the last dose of methylene blue, whichever comes first. In non-emergency situations when non-urgent",FDA_openFDA
VERTEPORFIN FOR INJECTION,VISUDYNE,VERTEPORFIN FOR INJECTION,"Based, Metabolism, Microsomal, Drugs, Calcium, Possible, Compounds, Verteporfin","7 DRUG INTERACTIONS Drug interaction studies in humans have not been conducted with VISUDYNE. Verteporfin is rapidly eliminated by the liver, mainly as unchanged drug. Metabolism is limited and occurs by liver and plasma esterases. Microsomal cytochrome P450 does not appear to play a role in verteporfin metabolism. Based on the mechanism of action of verteporfin, many drugs used concomitantly could influence the effect of VISUDYNE therapy. Possible examples include the following: Calcium channel blockers, polymyxin B or radiation therapy could enhance the rate of VISUDYNE uptake by the vascular endothelium. Other photosensitizing agents (e.g., tetracyclines, sulfonamides, phenothiazines, sulfonylurea hypoglycemic agents, thiazide diuretics and griseofulvin) could increase the potential for skin photosensitivity reactions. Compounds that quench active oxygen species or scavenge radicals, such as dimethyl sulfoxide, β-carotene, ethanol, formate and mannitol, would be expected to decrease VISUDYNE activity. Drugs that decrease clotting, vasoconstriction or platelet aggregation, e.g., thromboxane A 2 inhibitors, could also decrease the efficacy of VISUDYNE therapy.",FDA_openFDA
OLMESARTAN MEDOXOMIL / AMLODIPINE BESYLATE / HYDROCHLOROTHIAZIDE,TRIBENZOR,OLMESARTAN MEDOXOMIL / AMLODIPINE BESYLATE / HYDROCHLOROTHIAZIDE,"Corticosteroids, Frequent, Nonsteroidal, Monitor, Blood, Increases, Olmesartan Medoxomil, Colesevelam, Therefore, Limit, Most, Closely, Avoid, Dual, Colestipol Resins, Reduced, Cholestyramine, Steroidal Anti, Renin, Angiotensin System, Inhibitors, Single, Dosage, Inducers, Selective Cyclooxygenase","7 DRUG INTERACTIONS Olmesartan medoxomil ( 7.1 ): Nonsteroidal anti-inflammatory drugs (NSAIDS): May lead to increased risk of renal impairment and loss of antihypertensive effect. Dual inhibition of the renin-angiotensin system: Increased risk of renal impairment, hypotension, and hyperkalemia. Colesevelam hydrochloride: Consider administering olmesartan at least 4 hours before colesevelam hydrochloride dose. Lithium: Increases in serum lithium concentrations and lithium toxicity. Amlodipine ( 7.2 ): Limit simvastatin to 20 mg daily when coadministered. Increased exposure to cyclosporin and tacrolimus. Increased amlodipine exposure when coadministered with CYP3A inhibitors Hydrochlorothiazide ( 7.3 ): Antidiabetic drugs: Dosage adjustment of antidiabetic may be required. Cholestyramine and colestipol: Reduced absorption of thiazides. NSAIDs: Can reduce the diuretic, natriuretic, and antihypertensive effects of diuretics. 7. 1 Drug Interactions with Olmesartan Medoxomil Non-Steroidal Anti-Inflammatory Agents including Selective Cyclooxygenase-2 Inhibitors (COX-2 Inhibitors): In patients who are elderly, volume-depleted (including those on diuretic therapy), or with compromised renal function, co-administration of NSAIDs, including selective COX-2 inhibitors, with angiotensin II receptor antagonists, including olmesartan medoxomil, may result in deterioration of renal function, including possible acute renal failure. These effects are usually reversible. Monitor renal function",FDA_openFDA
OLANZAPINE AND FUOXETINE,OLANZAPINE AND FLUOXETINE,OLANZAPINE AND FUOXETINE,"Drugs The, Wort, Levodopa, Inhibitor, Effect, Interval, Plasma Proteins, Theophylline, Single, Dosage, Dopa, Hemostasis, Dopamine Agonists, Affect Olanzapine, Fluoxetine, Prolong, Aspirin, Agonists, Monitor, Pimozide, Fluoxetine Benzodiazepines, Drugs Pimozide, Monoamine Oxidase, Agents, Inhibitors","7 DRUG INTERACTIONS The risks of using olanzapine and fluoxetine in combination with other drugs have not been extensively evaluated in systematic studies. The drug-drug interactions sections of fluoxetine and olanzapine are applicable to olanzapine and fluoxetine. As with all drugs, the potential for interaction by a variety of mechanisms (e.g., pharmacodynamic, pharmacokinetic drug inhibition or enhancement, etc.) is a possibility. In evaluating individual cases, consideration should be given to using lower initial doses of the concomitantly administered drugs, using conservative titration schedules, and monitoring of clinical status [see Clinical Pharmacology (12.3)] . Monoamine Oxidase Inhibitor (MAOI) : (2.4, 2.5, 4.1, 5.6, 7.1) Drugs Metabolized by CYP2D6 : Fluoxetine is a potent inhibitor of CYP2D6 enzyme pathway (7.7) Tricyclic Antidepressants (TCAs) : Monitor TCA levels during coadministration with olanzapine and fluoxetine or when olanzapine and fluoxetine capsules have been recently discontinued (5.6, 7.7) CN S Acting Drugs : Caution is advised if the concomitant administration of olanzapine and fluoxetine and other CNS-active drugs is required (7.2) A n t ihypertensive Agent : Enhanced antihypertensive effect (7.7) Le v odopa and Dopa m ine Agonists : May antagonize levodopa/dopamine agonists (7.7) B e n z od iazepines : May potentiate orthostatic hypotension and sedation (7.6, 7.7) C lozapine : May elevate clozapine levels (7.7) Ha loperidol : Elevated haloperido",FDA_openFDA
DEFLAZACORT ORAL,DEFLAZACORT ORAL SUSPENSION,DEFLAZACORT ORAL,"Give, Avoid, Inducers Moderate, Inhibitors The, Inducers Co, Precautions, Strong, Neuromuscular Blockers, Warnings, Moderate, Clinical Pharmacology, Inhibitors, Therefore, Dosage","7 DRUG INTERACTIONS Moderate or strong CYP3A4 inhibitors: Give one third of the recommended dosage of deflazacort oral suspension ( 7.1 ) Avoid use of moderate or strong CYP3A4 inducers with deflazacort oral suspension, as they may reduce efficacy ( 7.1 ) 7.1 CYP3A4 Inhibitors and Inducers Moderate or Strong CYP3A4 Inhibitors The active metabolite of deflazacort, 21-desDFZ, is a substrate of CYP3A4 [see Clinical Pharmacology ( 12.3 )] . Co-administration of deflazacort with clarithromycin, a strong CYP3A4 inhibitor, increased total exposure to 21-desDFZ by about 3-fold. Therefore, give one third the recommended dosage of deflazacort oral suspension when moderate or strong CYP3A4 inhibitors (e.g., clarithromycin, fluconazole, diltiazem, verapamil, grapefruit juice) are used concomitantly with deflazacort oral suspension [see Dosage and Administration ( 2.5 ) and Clinical Pharmacology ( 12.3 )] . Moderate or Strong CYP3A4 Inducers Co-administration of deflazacort with rifampin, a strong CYP3A4 inducer, significantly decreased the exposure of 21-desDFZ. Avoid concomitant use of strong (e.g., efavirenz) or moderate (e.g., carbamazepine, phenytoin) CYP3A4 inducers with deflazacort oral suspension [see Dosage and Administration ( 2.5 ) and Clinical Pharmacology ( 12.3 )] . 7.2 Neuromuscular Blockers Patients receiving corticosteroids, including deflazacort oral suspension, and concomitant therapy with neuromuscular blocking drugs (e.g., pancuronium) may be at increased risk of deve",FDA_openFDA
HYALURONIDASE,HYLENEX RECOMBINANT,HYALURONIDASE,"Incompatibilities Furosemide, Admixture, Furosemide, Cortisone, Drug Interactions, Local, Antihistamines Patients, Estrogens, Salicylates, Specific Precautions, Large, Hyaluronidase, Local Anesthetics","7. Drug Interactions It is recommended that appropriate references be consulted regarding physical or chemical incompatibilities before adding HYLENEX recombinant to a solution containing another drug. Furosemide, the benzodiazepines and phenytoin are incompatible with hyaluronidase. ( 7.1 ) Hyaluronidase should not be used to enhance the dispersion and absorption of dopamine and/or alpha agonist drugs. ( 7.2 ) Local anesthetics: Hyaluronidase hastens onset and shortens duration of effect, increases incidence of systemic reactions. ( 7.3 ) Large doses of salicylates, cortisone, ACTH, estrogens or antihistamines may require larger amounts of hyaluronidase for equivalent dispersing effect. ( 7.4 ) 7.1. Incompatibilities Furosemide, the benzodiazepines and phenytoin have been found to be incompatible with hyaluronidase. Admixture stability studies have shown that 2% lidocaine with 1:100,000 or 1:200,000 epinephrine is incompatible with hyaluronidase due to the presence of sodium metabisulfite, a common additive in anesthetic products containing epinephrine. 7.2. Drug-Specific Precautions Hyaluronidase should not be used to enhance the dispersion and absorption of dopamine and/or alpha agonist drugs. When considering the administration of any other drug with hyaluronidase, it is recommended that appropriate references first be consulted to determine the usual precautions for the use of the other drug. 7.3. Local Anesthetics When hyaluronidase is added to a local anesthetic agent,",FDA_openFDA
AMPICILLIN INJECTION,AMPICILLIN,AMPICILLIN INJECTION,Drug Interactions,Drug Interactions The concurrent administration of allopurinol and ampicillin increases substantially the incidence of skin rashes in patients receiving both drugs as compared to patients receiving ampicillin alone. It is not known whether this potentiation of ampicillin rashes is due to allopurinol or the hyperuricemia present in these patients.,FDA_openFDA
NITROFURANTOIN MACROCRYSTALS,NITROFURANTOIN MACROCRYSTALS,NITROFURANTOIN MACROCRYSTALS,"Drug Interactions, Antacids, Uricosuric","Drug Interactions Antacids containing magnesium trisilicate, when administered concomitantly with nitrofurantoin, reduce both the rate and extent of absorption. The mechanism for this interaction probably is adsorption of nitrofurantoin onto the surface of magnesium trisilicate. Uricosuric drugs, such as probenecid and sulfinpyrazone, can inhibit renal tubular secretion of nitrofurantoin. The resulting increase in nitrofurantoin serum levels may increase toxicity, and the decreased urinary levels could lessen its efficacy as a urinary tract antibacterial.",FDA_openFDA
BUTALBITAL AND ACETAMINOPHEN,BUTALBITAL AND ACETAMINOPHEN,BUTALBITAL AND ACETAMINOPHEN,"Drug Interactions, Butalbital","Drug Interactions: The CNS effects of butalbital may be enhanced by monoamine oxidase (MAO) inhibitors. Butalbital and acetaminophen may enhance the effects of: other narcotic analgesics, alcohol, general anesthetics, tranquilizers such as chlordiazepoxide, sedative-hypnotics, or other CNS depressants, causing increased CNS depression.",FDA_openFDA
FERUMOXYTOL,FERAHEME,FERUMOXYTOL,Feraheme,7 DRUG INTERACTIONS Drug-drug interaction studies with Feraheme were not conducted. Feraheme may reduce the absorption of concomitantly administered oral iron preparations.,FDA_openFDA
METFORMIN,METFORMIN,METFORMIN,"Alcohol, Table, Carbonic, Drugs, Consider, Warn","7 DRUG INTERACTIONS Carbonic anhydrase inhibitors may increase risk of lactic acidosis. Consider more frequent monitoring ( 7 ) Drugs that reduce metformin clearance (such as ranolazine, vandetanib, dolutegravir, and cimetidine) may increase the accumulation of metformin. Consider the benefits and risks of concomitant use ( 7 ) Alcohol can potentiate the effect of metformin on lactate metabolism. Warn patients against excessive alcohol intake ( 7 ) Table 2 presents clinically significant drug interactions with metformin hydrochloride extended-release tablets.",FDA_openFDA
TRAZODONE HYDROCHLORIDE ORAL,RALDESY TM,TRAZODONE HYDROCHLORIDE ORAL,"Continue, Phenytoin, Impact, Serotonin, Table, Monitor, Clinically Significant, Monoamine Oxidase, Intervention, Increase, Antiplatelet Agents, Avoid, Inhibitors Clinical, Strong, Other Serotonergic, Warfarin, Anticoagulants Clinical, Warnings, Interval Prolongation, Depressants Clinical, Measure, Central Nervous, Inhibitors, Inducers Clinical, Dosage","7 DRUG INTERACTIONS CNS Depressants: RALDESY may enhance effects of alcohol, barbiturates, or other CNS depressants ( 7 ). CYP3A4 Inhibitors: Consider RALDESY dose reduction based on tolerability ( 2.5 , 7 ). CYP3A4 Inducers: Increase in RALDESY dosage may be necessary ( 2.5 , 7 ). Digoxin or Phenytoin: Monitor for increased digoxin or phenytoin serum levels ( 7 ). Warfarin: Monitor for increased or decreased prothrombin time ( 7 ). Table 3 displays clinically significant drug Interactions with RALDESY. Table 3: Clinically Significant Drug Interactions with RALDESY Monoamine Oxidase Inhibitors (MAOIs) Clinical Impact: The concomitant use of MAOIs and serotonergic drugs including RALDESY increases the risk of serotonin syndrome. Intervention: RALDESY is contraindicated in patients taking MAOIs, including MAOIs such as linezolid or intravenous methylene blue [see Contraindications (4) , Dosage and Administration ( 2.3 , 2.4) , and Warnings and Precautions (5.2) ]. Other Serotonergic Drugs Clinical Impact: The concomitant use of serotonergic drugs, including RALDESY and other serotonergic drugs increases the risk of serotonin syndrome. Intervention: Monitor patients for signs and symptoms of serotonin syndrome, particularly during RALDESY initiation. If serotonin syndrome occurs, consider discontinuation of RALDESY and/or concomitant serotonergic drugs [see Warnings and Precautions (5.2) ]. Antiplatelet Agents and Anticoagulants Clinical Impact: Serotonin release by platelets pl",FDA_openFDA
"ELVITEGRAVIR, COBICISTAT, EMTRICITABINE, AND TENOFOVIR ALAFENAMIDE",GENVOYA,"ELVITEGRAVIR, COBICISTAT, EMTRICITABINE, AND TENOFOVIR ALAFENAMIDE","Antiplatelets, Alternative, Drug Interaction, Inhaled Beta, Antagonists, Effect, More Components, Careful, Concentration, Cushing, Plasma, Dosage, Antifungals, Antidepressants, Initiate, Sildenafil, Herbal Products, Antimycobacterial, Other Antiretroviral, Sedative, Stop, Prophylaxis, Separate, Consult, Table","7 DRUG INTERACTIONS GENVOYA should not be administered with other antiretroviral medications for treatment of HIV-1 infection. ( 7.1 ) GENVOYA can alter the concentration of drugs metabolized by CYP3A or CYP2D6. Drugs that induce CYP3A can alter the concentrations of one or more components of GENVOYA. Consult the full prescribing information prior to and during treatment for potential drug-drug interactions. ( 4 , 7.2 , 7.3 , 12.3 ) 7.1 Not Recommended with Other Antiretroviral Medications GENVOYA is a complete regimen for the treatment of HIV-1 infection; therefore, coadministration of GENVOYA with other antiretroviral medications for treatment of HIV-1 infection should be avoided. Complete information regarding potential drug-drug interactions with other antiretroviral medications is not provided [see Contraindications (4) , Warnings and Precautions (5.2) and Clinical Pharmacology (12.3) ] . 7.2 Potential for GENVOYA to Affect Other Drugs Cobicistat, a component of GENVOYA, is an inhibitor of CYP3A and CYP2D6 and an inhibitor of the following transporters: P-glycoprotein (P-gp), BCRP, OATP1B1 and OATP1B3. Thus, coadministration of GENVOYA with drugs that are primarily metabolized by CYP3A or CYP2D6, or are substrates of P-gp, BCRP, OATP1B1 or OATP1B3 may result in increased plasma concentrations of such drugs . Coadministration of GENVOYA with drugs that have active metabolite(s) formed by CYP3A may result in reduced plasma concentration of these active metabolite(s) (see T",FDA_openFDA
NILUTAMIDE,NILUTAMIDE,NILUTAMIDE,"Drug Interactions, Consequently","Drug Interactions In vitro, nilutamide has been shown to inhibit the activity of liver cytochrome P-450 isoenzymes and, therefore, may reduce the metabolism of compounds requiring these systems. Consequently, drugs with a low therapeutic margin, such as vitamin K antagonists, phenytoin, and theophylline, could have a delayed elimination and increases in their serum half-life leading to a toxic level. The dosage of these drugs or others with a similar metabolism may need to be modified if they are administered concomitantly with nilutamide. For example, when vitamin K antagonists are administered concomitantly with nilutamide, prothrombin time should be carefully monitored and, if necessary, the dosage of vitamin K antagonists should be reduced.",FDA_openFDA
DELANDISTROGENE MOXEPARVOVEC-ROKL,ELEVIDYS,DELANDISTROGENE MOXEPARVOVEC-ROKL,"Vaccinations, Prior","7 DRUG INTERACTIONS Prior to initiating the corticosteroid regimen required before ELEVIDYS administration, consider the patient's vaccination status. Patients should, if possible, be brought up to date with all immunizations in agreement with current immunization guidelines. Vaccinations should be completed at least 4 weeks prior to initiation of the corticosteroid regimen.",FDA_openFDA
GLUCAGON INJECTION,GVOKE VIALDX,GLUCAGON INJECTION,"Intervention Monitor, Impact, Vial Dx, Table, Clinically Significant, Anticholinergic Drugs, Monitor, Warfarin Clincial, Drug Interaction, Blockers Clincial, Warfarin, Intervention Concomitant, Anticholinergic, Indomethacin, Intervention The, Indomethacin Clincial, Insulin, Concomitant, Insulin Clincial, Clincial Impact, Beta","7 DRUG INTERACTIONS Table 4: Clinically Significant Drug Interaction with GVOKE and GVOKE VialDx Beta-Blockers Clincial Impact: Patients taking beta-blockers may have a transient increase in pulse and blood pressure when given GVOKE or GVOKE VialDx. Intervention The increase in blood pressure and heart rate may require therapy in patients with coronary artery disease. Insulin Clincial Impact: Insulin acts antagonistically to glucagon. Intervention Monitor blood glucose when GVOKE VialDx is used as a diagnostic aid in patients receiving insulin. Indomethacin Clincial Impact: In patients taking indomethacin, GVOKE may lose its ability to raise blood glucose or may even produce hypoglycemia. Intervention Monitor blood glucose levels during glucagon treatment of patients taking indomethacin. Anticholinergic Drugs Clincial Impact: The concomitant use of anticholinergic drugs and GVOKE VialDx increases the risk of gastrointestinal adverse reactions due to additive effects on inhibition of gastrointestinal motility. Intervention Concomitant use of anticholinergic drugs with GVOKE VialDx is not recommended. Warfarin Clincial Impact: GVOKE and GVOKE Vial Dx may increase the anticoagulant effect of warfarin. Intervention Monitor patients for unusual bruising or bleeding, as adjustments in warfarin dosage may be required. Beta-blockers: GVOKE- or GVOKE VialDx-treated patients taking concomitant beta-blockers may have a transient increase in pulse and blood pressure. ( 7 ) Indomethacin: ",FDA_openFDA
DICHLORPHENAMIDE,DICHLORPHENAMIDE,DICHLORPHENAMIDE,"Substrates, Acidosis Coadministration, Carbonic, Anorexia, Therefore, Warnings, Inhibitors, Organic Anion, Drugs, Contraindications, Dichlorphenamide, Precautions, Cause Metabolic, Cause Hypokalemia, Clinical Pharmacology, Aspirin, Other Salicylates","7 DRUG INTERACTIONS Aspirin: anorexia, tachypnea, lethargy, and coma have been reported with concomitant use of dichlorphenamide and high-dose aspirin. The concomitant use of dichlorphenamide tablets and high-dose aspirin is contraindicated. Dichlorphenamide tablets should be used with caution in patients receiving lower doses of aspirin ( 4 , 5.2 , 7.1 ) 7.1 Aspirin and Other Salicylates Carbonic anhydrase inhibitors, including dichlorphenamide, can cause metabolic acidosis [see Warnings and Precautions ( 5.2 , 5.4 )] , which can increase the risk of salicylate toxicity. Anorexia, tachypnea, lethargy, and coma have been reported with concomitant use of dichlorphenamide and high-dose aspirin. Therefore, concomitant use of dichlorphenamide and high-dose aspirin is contraindicated. Patients with concomitant use of dichlorphenamide and low-dose aspirin should be carefully monitored [see Contraindications ( 4 ) and Warnings and Precautions ( 5.2 )]. 7.2 Drugs that are Substrates of Organic Anion Transporter1 (OAT1) In vitro , dichlorphenamide is an inhibitor of OAT1 transporters. The concomitant administration of dichlorphenamide may increase the plasma exposures of OAT1 substrates. Use of dichlorphenamide with drugs that are sensitive to OAT1 inhibition (e.g., methotrexate, famotidine, oseltamivir) is not recommended [see Clinical Pharmacology ( 12.3 )]. 7.3 Drugs that Cause Hypokalemia The risk of hypokalemia is greater with coadministration of dichlorphenamide and other drugs ",FDA_openFDA
PROPRANOLOL HYDROCHLORIDE,INDERAL LA,PROPRANOLOL HYDROCHLORIDE,"Caution, Nonsteroidal, Quinidine, Warfarin Propranolol, Digitalis Glycosides, Prazosin, Prothrombin, Postural, Thyroxine Thyroxine, Both, Alcohol, Calcium Channel, Neuroleptic Drugs, Methoxyflurane, Inotropic Agents, Anesthetic Agents, Inderal, Antidepressants The, Epinephrine, Drug Interactions, There, Inflammatory Drugs, Amiodarone, Dobutamine Propranolol, Blockers Caution","Drug Interactions Caution should be exercised when Inderal LA is administered with drugs that have an affect on CYP2D6, 1A2, or 2C19 metabolic pathways. Co-administration of such drugs with propranolol may lead to clinically relevant drug interactions and changes on its efficacy and/or toxicity (see Drug Interactions in PHARMACOKINETICS AND DRUG METABOLISM ). Alcohol when used concomitantly with propranolol, may increase plasma levels of propranolol. Cardiovascular Drugs Antiarrhythmics Propafenone has negative inotropic and beta-blocking properties that can be additive to those of propranolol. Quinidine increases the concentration of propranolol and produces greater degrees of clinical beta-blockade and may cause postural hypotension. Amiodarone is an antiarrhythmic agent with negative chronotropic properties that may be additive to those seen with β-blockers such as propranolol. The clearance of lidocaine is reduced with administration of propranolol. Lidocaine toxicity has been reported following co-administration with propranolol. Caution should be exercised when administering Inderal LA with drugs that slow A-V nodal conduction, e.g., lidocaine and calcium channel blockers. Digitalis Glycosides Both digitalis glycosides and beta-blockers slow atrioventricular conduction and decrease heart rate. Concomitant use can increase the risk of bradycardia. Calcium Channel Blockers Caution should be exercised when patients receiving a beta-blocker are administered a calcium-channe",FDA_openFDA
INSULIN DETEMIR,LEVEMIR,INSULIN DETEMIR,"May Decrease, Table, Clinically Significant, Intervention, Alcohol, Drugs That, Hypoglycemia Drugs, May Increase, Affect Glucose, May Blunt, Dosage, Symptoms, Drug Interactions, Signs, Drugs, Pentamidine, Antidiabetic, Atypical, Antiadrenergic Drugs, Blood Glucose, Metabolism, Risk, Lowering Effect, Adjustment, Beta","7 DRUG INTERACTIONS Table 6 includes clinically significant drug interactions with LEVEMIR. Table 6: Clinically Significant Drug Interactions with LEVEMIR Drugs That May Increase the Risk of Hypoglycemia Drugs: Antidiabetic agents, ACE inhibitors, angiotensin II receptor blocking agents, disopyramide, fibrates, fluoxetine, monoamine oxidase inhibitors, pentoxifylline, pramlintide, salicylates, somatostatin analogs (e.g., octreotide), and sulfonamide antibiotics, GLP-1 receptor agonists, DPP-4 inhibitors, SGLT-2 inhibitors. Intervention: Dosage reductions and increased frequency of glucose monitoring may be required when LEVEMIR is co-administered with these drugs. Drugs That May Decrease the Blood Glucose Lowering Effect of LEVEMIR Drugs: Atypical antipsychotics (e.g., olanzapine and clozapine), corticosteroids, danazol, diuretics, estrogens, glucagon, isoniazid, niacin, oral contraceptives, phenothiazines, progestogens (e.g., in oral contraceptives), protease inhibitors, somatropin, sympathomimetic agents (e.g., albuterol, epinephrine, terbutaline), and thyroid hormones. Intervention: Dosage increases and increased frequency of glucose monitoring may be required when LEVEMIR is co-administered with these drugs. Drugs That May Increase or Decrease the Blood Glucose Lowering Effect of LEVEMIR Drugs: Alcohol, beta-blockers, clonidine, and lithium salts. Pentamidine may cause hypoglycemia, which may sometimes be followed by hyperglycemia. Intervention: Dosage adjustment and incr",FDA_openFDA
"KETOROLAC TROMETHAMINE, LIDOCAINE HYDROCHLORIDE, BUPIVACAINE HYDROCHLORIDE, POVIDINE IODINE",KETOROCAINE LM KIT,"KETOROLAC TROMETHAMINE, LIDOCAINE HYDROCHLORIDE, BUPIVACAINE HYDROCHLORIDE, POVIDINE IODINE","Ergot, Phenothiazines, Methemoglobinemia, Local, Receptor Antagonists, Injection, Pentoxifylline When, Drugs Associated, Angiotensin, Dosage, Hallucinations, Reports, Methemoglobinemia Patients, Hematologic Effects, Salicylate, Diuretics Clinical, Monitor, Clinically Significant, Butyrophenones Phenothiazines, Monoamine Oxidase, Class Examples, Antiepileptic Drugs, Anesthetics, Methotrexate, Inhibitors","7 DRUG INTERACTIONS Local Anesthetics : The toxic effects of local anesthetics are additive. Monitor for neurologic and cardiovascular effects when additional local anesthetics are administered. ( 7.1 ) Monoamine Oxidase Inhibitors and Tricyclic Antidepressants : Administration of Bupivacaine Hydrochloride and Epinephrine Injection to patients receiving monoamine oxidase inhibitors or tricyclic antidepressants may produce severe, prolonged hypertension. Concurrent use of these agents should generally be avoided. ( 5.6 , 7.2 ) Ergot-Type Oxytocic Drugs : Concurrent administration of Bupivacaine Hydrochloride and Epinephrine Injection and ergot-type oxytocic drugs may cause severe, persistent hypertension or cerebrovascular accidents. ( 5.6 , 7.3 ) Nonselective Beta-Adrenergic Antagonists : Administration of Bupivacaine Hydrochloride and Epinephrine Injection (containing a vasoconstrictor) in patients receiving nonselective beta-adrenergic antagonists may cause severe hypertension and bradycardia. Concurrent use of these agents should generally be avoided. ( 5.6 , 7.4 ) Drugs Associated with Methemoglobinemia : Patients are at increased risk of developing methemoglobinemia when concurrently exposed to nitrates, nitrites, local anesthetics, antineoplastic agents, antibiotics, antimalarials, anticonvulsants, and other drugs. ( 7.5 ) Potent Inhalation Anesthetics : Serious dose-related cardiac arrhythmias may occur if preparations containing a vasoconstrictor such as epinephrine a",FDA_openFDA
"BETAMETHASONE SODIUM PHOSPHATE, BETAMETHASONE ACETATE, LIDOCAINE HYDROCHLORIDE, BUPIVACAINE HYDROCHLORIDE, POVIDINE IODINE, ISOPROPYL ALCOHOL",MARBETA L KIT,"BETAMETHASONE SODIUM PHOSPHATE, BETAMETHASONE ACETATE, LIDOCAINE HYDROCHLORIDE, BUPIVACAINE HYDROCHLORIDE, POVIDINE IODINE, ISOPROPYL ALCOHOL","Ergot, Phenothiazines, Amphotericin, Methemoglobinemia, Local, Digitalis Glycosides, Skin Tests, Injection, Strong, Drugs Associated, Dosage, Convulsions, Depleting Agents, Inhibitors Corticosteroids, Methemoglobinemia Patients, Including Oral, Ketoconazole, Nonsteroidal Anti, Hepatic Enzyme, Route, Aspirin, Oral Coadministration, Monitor, Clinically Significant, Butyrophenones Phenothiazines","7 DRUG INTERACTIONS Local Anesthetics : The toxic effects of local anesthetics are additive. Monitor for neurologic and cardiovascular effects when additional local anesthetics are administered. ( 7.1 ) Monoamine Oxidase Inhibitors and Tricyclic Antidepressants : Administration of Bupivacaine Hydrochloride and Epinephrine Injection to patients receiving monoamine oxidase inhibitors or tricyclic antidepressants may produce severe, prolonged hypertension. Concurrent use of these agents should generally be avoided. ( 5.6 , 7.2 ) Ergot-Type Oxytocic Drugs : Concurrent administration of Bupivacaine Hydrochloride and Epinephrine Injection and ergot-type oxytocic drugs may cause severe, persistent hypertension or cerebrovascular accidents. ( 5.6 , 7.3 ) Nonselective Beta-Adrenergic Antagonists : Administration of Bupivacaine Hydrochloride and Epinephrine Injection (containing a vasoconstrictor) in patients receiving nonselective beta-adrenergic antagonists may cause severe hypertension and bradycardia. Concurrent use of these agents should generally be avoided. ( 5.6 , 7.4 ) Drugs Associated with Methemoglobinemia : Patients are at increased risk of developing methemoglobinemia when concurrently exposed to nitrates, nitrites, local anesthetics, antineoplastic agents, antibiotics, antimalarials, anticonvulsants, and other drugs. ( 7.5 ) Potent Inhalation Anesthetics : Serious dose-related cardiac arrhythmias may occur if preparations containing a vasoconstrictor such as epinephrine a",FDA_openFDA
